0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:20 +0800] "GET /TixToGo/css&jsADMIN/assets/dropdown/css/style.css HTTP/1.1" 200 7674
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:20 +0800] "GET /TixToGo/css&jsADMIN/assets/animate.css/animate.min.css HTTP/1.1" 200 61280
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:20 +0800] "GET /TixToGo/css&jsADMIN/assets/theme/css/style.css HTTP/1.1" 200 51031
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:20 +0800] "GET /TixToGo/css&jsADMIN/assets/web/assets/jquery/jquery.min.js HTTP/1.1" 200 95931
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:20 +0800] "GET /TixToGo/css&jsADMIN/assets/mobirise/css/mbr-additional.css HTTP/1.1" 200 17788
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:20 +0800] "GET /TixToGo/css&jsADMIN/assets/tether/tether.min.js HTTP/1.1" 200 23217
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:21 +0800] "GET /TixToGo/css&jsADMIN/assets/smooth-scroll/smooth-scroll.js HTTP/1.1" 200 21418
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:21 +0800] "GET /TixToGo/css&jsADMIN/assets/bootstrap/js/bootstrap.min.js HTTP/1.1" 200 44826
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:21 +0800] "GET /TixToGo/css&jsADMIN/assets/dropdown/js/script.min.js HTTP/1.1" 200 9653
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:21 +0800] "GET /TixToGo/css&jsADMIN/assets/touch-swipe/jquery.touch-swipe.min.js HTTP/1.1" 200 20412
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:21 +0800] "GET /TixToGo/css&jsADMIN/assets/viewport-checker/jquery.viewportchecker.js HTTP/1.1" 200 7613
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:21 +0800] "GET /TixToGo/css&jsADMIN/assets/jarallax/jarallax.js HTTP/1.1" 200 25399
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:21 +0800] "GET /TixToGo/css&jsADMIN/assets/theme/js/script.js HTTP/1.1" 200 20144
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:21 +0800] "GET /TixToGo/css&jsADMIN/assets/images/2_fi_leadimage2_0BW.jpg HTTP/1.1" 200 57445
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/adminHomepage.jsp HTTP/1.1" 200 7746
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/bootstrap-material-design-font/css/material.css HTTP/1.1" 200 48706
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/web/assets/mobirise-icons/mobirise-icons.css HTTP/1.1" 200 6330
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/et-line-font-plugin/style.css HTTP/1.1" 200 7187
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/theme/css/style.css HTTP/1.1" 200 51031
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/tether/tether.min.css HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/bootstrap/css/bootstrap.min.css HTTP/1.1" 200 100580
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/dropdown/css/style.css HTTP/1.1" 200 7674
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/animate.css/animate.min.css HTTP/1.1" 200 61280
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/mobirise/css/mbr-additional.css HTTP/1.1" 200 17788
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/tether/tether.min.js HTTP/1.1" 200 23217
0:0:0:0:0:0:0:1 - - [06/Jul/2017:15:01:34 +0800] "GET /TixToGo/css&jsADMIN/assets/web/assets/jquery/jquery.min.js HTTP/1.1" 200 95931
